valid_score_mean,valid_score_std,valid_time_mean,train_score_mean,train_score_std,train_time_mean,data_transfo_time,estimator,iteration
0.562744372566583,0.046973455096156726,0.004454469680786133,0.7052789476132706,0.0069488468469115616,0.2118833065032959,0.2555577560015081,"XGBRegressor(base_score=0.5, booster='gbtree', colsample_bylevel=1,
             colsample_bynode=1, colsample_bytree=0.48, gamma=0.34,
             importance_type='gain', learning_rate=0.07, max_delta_step=0,
             max_depth=3, min_child_weight=13, missing=None, n_estimators=150,
             n_jobs=-1, nthread=None, objective='reg:squarederror',
             random_state=42, reg_alpha=1.0, reg_lambda=0.9, scale_pos_weight=1,
             seed=None, silent=None, subsample=0.73, verbosity=1)",1
0.5611624464992702,0.04787453861798268,0.004427433013916016,0.6989380949555912,0.008947626112117654,0.21105856895446778,0.24940716499986593,"XGBRegressor(base_score=0.5, booster='gbtree', colsample_bylevel=1,
             colsample_bynode=1, colsample_bytree=0.48, gamma=0.34,
             importance_type='gain', learning_rate=0.07, max_delta_step=0,
             max_depth=3, min_child_weight=13, missing=None, n_estimators=150,
             n_jobs=-1, nthread=None, objective='reg:squarederror',
             random_state=42, reg_alpha=1.9000000000000001,
             reg_lambda=1.4000000000000001, scale_pos_weight=1, seed=None,
             silent=None, subsample=0.73, verbosity=1)",2
0.5657377609615704,0.04812082486193066,0.00535125732421875,0.7076922800160748,0.00696789704563014,0.22264375686645507,0.25868785200145794,"XGBRegressor(base_score=0.5, booster='gbtree', colsample_bylevel=1,
             colsample_bynode=1, colsample_bytree=0.48, gamma=0.34,
             importance_type='gain', learning_rate=0.07, max_delta_step=0,
             max_depth=3, min_child_weight=13, missing=None, n_estimators=150,
             n_jobs=-1, nthread=None, objective='reg:squarederror',
             random_state=42, reg_alpha=0.0, reg_lambda=1.4000000000000001,
             scale_pos_weight=1, seed=None, silent=None, subsample=0.73,
             verbosity=1)",3
0.5619941347645849,0.0499025924174236,0.004321384429931641,0.7117439887537602,0.00699252243699271,0.2077974796295166,0.2521866349998163,"XGBRegressor(base_score=0.5, booster='gbtree', colsample_bylevel=1,
             colsample_bynode=1, colsample_bytree=0.48, gamma=0.34,
             importance_type='gain', learning_rate=0.07, max_delta_step=0,
             max_depth=3, min_child_weight=13, missing=None, n_estimators=150,
             n_jobs=-1, nthread=None, objective='reg:squarederror',
             random_state=42, reg_alpha=0.5, reg_lambda=0.0, scale_pos_weight=1,
             seed=None, silent=None, subsample=0.73, verbosity=1)",4
0.5671788744249989,0.04581352758902147,0.004468011856079102,0.7055481650506761,0.008789771734207514,0.21706786155700683,0.25287048099926324,"XGBRegressor(base_score=0.5, booster='gbtree', colsample_bylevel=1,
             colsample_bynode=1, colsample_bytree=0.48, gamma=0.34,
             importance_type='gain', learning_rate=0.07, max_delta_step=0,
             max_depth=3, min_child_weight=13, missing=None, n_estimators=150,
             n_jobs=-1, nthread=None, objective='reg:squarederror',
             random_state=42, reg_alpha=0.6000000000000001, reg_lambda=1.3,
             scale_pos_weight=1, seed=None, silent=None, subsample=0.73,
             verbosity=1)",5
0.562071947089876,0.04958778875820371,0.00431675910949707,0.7068001129384441,0.007276123881823219,0.20805258750915528,0.2558146150004177,"XGBRegressor(base_score=0.5, booster='gbtree', colsample_bylevel=1,
             colsample_bynode=1, colsample_bytree=0.48, gamma=0.34,
             importance_type='gain', learning_rate=0.07, max_delta_step=0,
             max_depth=3, min_child_weight=13, missing=None, n_estimators=150,
             n_jobs=-1, nthread=None, objective='reg:squarederror',
             random_state=42, reg_alpha=0.1, reg_lambda=1.8, scale_pos_weight=1,
             seed=None, silent=None, subsample=0.73, verbosity=1)",6
0.5621012276199394,0.04971256312274467,0.004369258880615234,0.7041291485850898,0.008558409660998882,0.2089529514312744,0.25592162500106497,"XGBRegressor(base_score=0.5, booster='gbtree', colsample_bylevel=1,
             colsample_bynode=1, colsample_bytree=0.48, gamma=0.34,
             importance_type='gain', learning_rate=0.07, max_delta_step=0,
             max_depth=3, min_child_weight=13, missing=None, n_estimators=150,
             n_jobs=-1, nthread=None, objective='reg:squarederror',
             random_state=42, reg_alpha=1.2000000000000002,
             reg_lambda=1.2000000000000002, scale_pos_weight=1, seed=None,
             silent=None, subsample=0.73, verbosity=1)",7
0.5623809042742919,0.05012906701583636,0.004336881637573242,0.7029817063257008,0.008991406577410415,0.2068099021911621,0.25837018500169506,"XGBRegressor(base_score=0.5, booster='gbtree', colsample_bylevel=1,
             colsample_bynode=1, colsample_bytree=0.48, gamma=0.34,
             importance_type='gain', learning_rate=0.07, max_delta_step=0,
             max_depth=3, min_child_weight=13, missing=None, n_estimators=150,
             n_jobs=-1, nthread=None, objective='reg:squarederror',
             random_state=42, reg_alpha=1.1, reg_lambda=1.4000000000000001,
             scale_pos_weight=1, seed=None, silent=None, subsample=0.73,
             verbosity=1)",8
0.565914184015461,0.047438702029006866,0.004364538192749024,0.7053162258241392,0.008592921564260298,0.20671343803405762,0.2617068290019233,"XGBRegressor(base_score=0.5, booster='gbtree', colsample_bylevel=1,
             colsample_bynode=1, colsample_bytree=0.48, gamma=0.34,
             importance_type='gain', learning_rate=0.07, max_delta_step=0,
             max_depth=3, min_child_weight=13, missing=None, n_estimators=150,
             n_jobs=-1, nthread=None, objective='reg:squarederror',
             random_state=42, reg_alpha=1.2000000000000002, reg_lambda=0.8,
             scale_pos_weight=1, seed=None, silent=None, subsample=0.73,
             verbosity=1)",9
0.5666816271579348,0.049155728169275964,0.00428919792175293,0.7050061749921155,0.008927579510117283,0.20718326568603515,0.2708252379998157,"XGBRegressor(base_score=0.5, booster='gbtree', colsample_bylevel=1,
             colsample_bynode=1, colsample_bytree=0.48, gamma=0.34,
             importance_type='gain', learning_rate=0.07, max_delta_step=0,
             max_depth=3, min_child_weight=13, missing=None, n_estimators=150,
             n_jobs=-1, nthread=None, objective='reg:squarederror',
             random_state=42, reg_alpha=1.3, reg_lambda=0.8, scale_pos_weight=1,
             seed=None, silent=None, subsample=0.73, verbosity=1)",10
