coherence_score,factorization_time,data,params,iteration
0.5408053835094938,1421.405640651,body,"{'limit_to_nouns': True, 'max_df': 0.9627778900415906, 'min_df': 0.012762053634944169, 'model__doc_topic_prior': 0.5, 'model__n_components': 60, 'model__topic_word_prior': 1, 'ngram_range': (1, 2), 'vectorizer_type': 'TFIDF'}",1
0,1436.7891216870003,body,"{'limit_to_nouns': True, 'max_df': 0.9665647452994215, 'min_df': 0.03680591793075738, 'model__doc_topic_prior': 0.05, 'model__n_components': 35, 'model__topic_word_prior': 1, 'ngram_range': (1, 2), 'vectorizer_type': 'BOW'}",2
0.7162300394067415,1459.6029001900006,body,"{'limit_to_nouns': True, 'max_df': 0.9740353724215102, 'min_df': 0.0355099637220532, 'model__doc_topic_prior': 0.05, 'model__n_components': 10, 'model__topic_word_prior': 10, 'ngram_range': (1, 3), 'vectorizer_type': 'BOW'}",3
0.6179499234587086,195.07422964200032,both,"{'limit_to_nouns': False, 'max_df': 0.9553958306276664, 'min_df': 0.010837425718704701, 'model__doc_topic_prior': 10, 'model__n_components': 60, 'model__topic_word_prior': 0.5, 'ngram_range': (1, 2), 'vectorizer_type': 'BOW'}",4
0.7680172156108525,279.8159599620003,body,"{'limit_to_nouns': False, 'max_df': 0.9892287086852684, 'min_df': 0.029138355433358867, 'model__doc_topic_prior': 0.05, 'model__n_components': 40, 'model__topic_word_prior': 1, 'ngram_range': (1, 3), 'vectorizer_type': 'TFIDF'}",5
0,33.73299060699992,title,"{'limit_to_nouns': False, 'max_df': 0.9798440047251323, 'min_df': 0.018071565188950367, 'model__doc_topic_prior': 10, 'model__n_components': 15, 'model__topic_word_prior': 0.1, 'ngram_range': (1, 3), 'vectorizer_type': 'TFIDF'}",6
0,19.388395423000475,title,"{'limit_to_nouns': False, 'max_df': 0.9723397257329532, 'min_df': 0.04205425417078295, 'model__doc_topic_prior': 10, 'model__n_components': 20, 'model__topic_word_prior': 10, 'ngram_range': (1, 1), 'vectorizer_type': 'BOW'}",7
0,1581.8033062220002,both,"{'limit_to_nouns': True, 'max_df': 0.9737047870122226, 'min_df': 0.0449730118133783, 'model__doc_topic_prior': 10, 'model__n_components': 80, 'model__topic_word_prior': 1, 'ngram_range': (1, 3), 'vectorizer_type': 'BOW'}",8
0,180.1280604020003,title,"{'limit_to_nouns': True, 'max_df': 0.9893760299198795, 'min_df': 0.014458165018697589, 'model__doc_topic_prior': 5, 'model__n_components': 70, 'model__topic_word_prior': 0.5, 'ngram_range': (1, 1), 'vectorizer_type': 'BOW'}",9
0,1533.0092743099995,both,"{'limit_to_nouns': True, 'max_df': 0.9678060494112435, 'min_df': 0.029406302533045985, 'model__doc_topic_prior': 0.5, 'model__n_components': 95, 'model__topic_word_prior': 0.5, 'ngram_range': (1, 2), 'vectorizer_type': 'BOW'}",10
0.7042241867345411,1437.4215259339999,body,"{'limit_to_nouns': True, 'max_df': 0.9801872567100984, 'min_df': 0.015178561729575019, 'model__doc_topic_prior': 1, 'model__n_components': 55, 'model__topic_word_prior': 5, 'ngram_range': (1, 3), 'vectorizer_type': 'TFIDF'}",11
0,143.5033118350002,both,"{'limit_to_nouns': False, 'max_df': 0.9664194242248544, 'min_df': 0.03632838204877368, 'model__doc_topic_prior': 10, 'model__n_components': 60, 'model__topic_word_prior': 0.05, 'ngram_range': (1, 1), 'vectorizer_type': 'BOW'}",12
0,1536.0353598300007,both,"{'limit_to_nouns': True, 'max_df': 0.9713727886948318, 'min_df': 0.02050595382108869, 'model__doc_topic_prior': 10, 'model__n_components': 60, 'model__topic_word_prior': 0.1, 'ngram_range': (1, 2), 'vectorizer_type': 'TFIDF'}",13
0.628017144836611,183.11836521700025,body,"{'limit_to_nouns': False, 'max_df': 0.9818975520989411, 'min_df': 0.02499509148964143, 'model__doc_topic_prior': 10, 'model__n_components': 45, 'model__topic_word_prior': 10, 'ngram_range': (1, 2), 'vectorizer_type': 'BOW'}",14
0.5802905632381813,227.28806788600014,body,"{'limit_to_nouns': False, 'max_df': 0.9817957310357887, 'min_df': 0.01443142629801743, 'model__doc_topic_prior': 0.05, 'model__n_components': 50, 'model__topic_word_prior': 10, 'ngram_range': (1, 2), 'vectorizer_type': 'BOW'}",15
0.5531839730812131,1527.9508166340001,both,"{'limit_to_nouns': True, 'max_df': 0.9793750375754775, 'min_df': 0.024773133055334903, 'model__doc_topic_prior': 0.1, 'model__n_components': 40, 'model__topic_word_prior': 10, 'ngram_range': (1, 1), 'vectorizer_type': 'BOW'}",16
0,331.05118293099986,both,"{'limit_to_nouns': False, 'max_df': 0.9550059672460695, 'min_df': 0.04604095001153425, 'model__doc_topic_prior': 0.05, 'model__n_components': 90, 'model__topic_word_prior': 10, 'ngram_range': (1, 3), 'vectorizer_type': 'TFIDF'}",17
