coherence_score,factorization_time,data,params,iteration
0,280.6764979700001,both,"{'limit_to_nouns': False, 'max_df': 0.9527620536349442, 'min_df': 0.04330528129259839, 'model__doc_topic_prior': 0.05, 'model__n_components': 55, 'model__topic_word_prior': 5, 'ngram_range': (1, 3), 'vectorizer_type': 'BOW'}",1
0,260.98831681900083,both,"{'limit_to_nouns': False, 'max_df': 0.9842548826136791, 'min_df': 0.0340438904546874, 'model__doc_topic_prior': 10, 'model__n_components': 80, 'model__topic_word_prior': 0.1, 'ngram_range': (1, 3), 'vectorizer_type': 'BOW'}",2
0,239.5164977509994,body,"{'limit_to_nouns': False, 'max_df': 0.962136404395367, 'min_df': 0.04533261109523448, 'model__doc_topic_prior': 5, 'model__n_components': 80, 'model__topic_word_prior': 0.05, 'ngram_range': (1, 3), 'vectorizer_type': 'BOW'}",3
0.7603801015963254,270.45718880999993,body,"{'limit_to_nouns': False, 'max_df': 0.9708357814266858, 'min_df': 0.01566370574197844, 'model__doc_topic_prior': 0.1, 'model__n_components': 10, 'model__topic_word_prior': 5, 'ngram_range': (1, 3), 'vectorizer_type': 'BOW'}",4
0,263.27452028300104,both,"{'limit_to_nouns': False, 'max_df': 0.9691383554333588, 'min_df': 0.041745589426717626, 'model__doc_topic_prior': 1, 'model__n_components': 75, 'model__topic_word_prior': 1, 'ngram_range': (1, 3), 'vectorizer_type': 'BOW'}",5
0.7306819976178617,292.04262358400047,both,"{'limit_to_nouns': False, 'max_df': 0.9798440047251323, 'min_df': 0.018071565188950367, 'model__doc_topic_prior': 0.1, 'model__n_components': 15, 'model__topic_word_prior': 10, 'ngram_range': (1, 3), 'vectorizer_type': 'BOW'}",6
0,235.83248324499982,body,"{'limit_to_nouns': False, 'max_df': 0.9873200068365356, 'min_df': 0.04449464468341164, 'model__doc_topic_prior': 10, 'model__n_components': 70, 'model__topic_word_prior': 0.1, 'ngram_range': (1, 3), 'vectorizer_type': 'BOW'}",7
0,237.17539301600118,body,"{'limit_to_nouns': False, 'max_df': 0.9619363872286746, 'min_df': 0.029755134813596124, 'model__doc_topic_prior': 10, 'model__n_components': 80, 'model__topic_word_prior': 0.5, 'ngram_range': (1, 3), 'vectorizer_type': 'BOW'}",8
0.7912941177797954,237.82645039899944,body,"{'limit_to_nouns': False, 'max_df': 0.9544581650186975, 'min_df': 0.015344957983496554, 'model__doc_topic_prior': 5, 'model__n_components': 50, 'model__topic_word_prior': 10, 'ngram_range': (1, 3), 'vectorizer_type': 'BOW'}",9
0.7574230930918248,284.60712613099895,both,"{'limit_to_nouns': False, 'max_df': 0.9694063025330459, 'min_df': 0.02906134626287861, 'model__doc_topic_prior': 0.05, 'model__n_components': 50, 'model__topic_word_prior': 5, 'ngram_range': (1, 3), 'vectorizer_type': 'BOW'}",10
0.7919640931166141,242.63653868000074,body,"{'limit_to_nouns': False, 'max_df': 0.9801872567100984, 'min_df': 0.015178561729575019, 'model__doc_topic_prior': 5, 'model__n_components': 55, 'model__topic_word_prior': 5, 'ngram_range': (1, 3), 'vectorizer_type': 'BOW'}",11
0.7805156174732251,258.3473384939989,both,"{'limit_to_nouns': False, 'max_df': 0.9695911060233455, 'min_df': 0.025319437193418, 'model__doc_topic_prior': 5, 'model__n_components': 30, 'model__topic_word_prior': 0.1, 'ngram_range': (1, 3), 'vectorizer_type': 'BOW'}",12
0.7855553552044577,235.47424249600044,body,"{'limit_to_nouns': False, 'max_df': 0.9884083519168642, 'min_df': 0.022290326555549578, 'model__doc_topic_prior': 10, 'model__n_components': 55, 'model__topic_word_prior': 0.05, 'ngram_range': (1, 3), 'vectorizer_type': 'BOW'}",13
0.759124152494121,278.1007821160001,both,"{'limit_to_nouns': False, 'max_df': 0.9536582311541245, 'min_df': 0.04209065616523714, 'model__doc_topic_prior': 0.05, 'model__n_components': 10, 'model__topic_word_prior': 5, 'ngram_range': (1, 3), 'vectorizer_type': 'BOW'}",14
